Internal ID,Date,Type,Document Number,Name,Amount Remaining,Amount,Memo,PO/Check Number,Status,Customer Internal ID
73508,12-09-2019,Invoice,I138674,Bluestem Brands,85.17,85.17,PO000076397866,,Open,4871
73509,12-09-2019,Invoice,I138673,Bluestem Brands,85.17,85.17,PO000076372567,,Open,4871
73510,12-09-2019,Invoice,I138672,Bluestem Brands,85.17,85.17,PO000076414824,,Open,4871
73511,12-09-2019,Invoice,I138671,Bluestem Brands,85.17,85.17,PO000076416347,,Open,4871
73512,12-09-2019,Invoice,I138670,Bluestem Brands,85.17,85.17,PO000076341702,,Open,4871
73513,12-09-2019,Invoice,I138669,Bluestem Brands,85.17,85.17,PO000076343626,,Open,4871
73514,12-09-2019,Invoice,I138668,Bluestem Brands,85.17,85.17,PO000076417007,,Open,4871
73515,12-09-2019,Invoice,I138666,Bluestem Brands,294,294,PO000076431688,,Open,4871
73516,12-09-2019,Invoice,I138665,Bluestem Brands,79.79,79.79,PO000076447280,,Open,4871
73517,12-09-2019,Invoice,I138664,Bluestem Brands,85.17,85.17,PO000076391904,,Open,4871
73518,12-09-2019,Invoice,I138663,Bluestem Brands,85.17,85.17,PO000076368950,,Open,4871
73519,12-09-2019,Invoice,I138662,Bluestem Brands,85.17,85.17,PO000076348232,,Open,4871
73520,12-09-2019,Invoice,I138655,Bluestem Brands,85.17,85.17,PO000076359118,,Open,4871
73387,12-10-2019,Invoice,I139168,Bluestem Brands,239,239,PO000076504208,,Open,4871
73388,12-10-2019,Invoice,I139136,Bluestem Brands,85.17,85.17,PO000076512919,,Open,4871
73389,12-10-2019,Invoice,I139135,Bluestem Brands,294,294,PO000076538601,,Open,4871
73390,12-10-2019,Invoice,I139134,Bluestem Brands,1497.92,1497.92,PO000076502157,,Open,4871
73391,12-10-2019,Invoice,I139127,Bluestem Brands,294,294,PO000076556752,,Open,4871
73392,12-10-2019,Invoice,I139119,Bluestem Brands,85.17,85.17,PO000076512325,,Open,4871
73393,12-10-2019,Invoice,I139103,Bluestem Brands,239,239,PO000076529643,,Open,4871
73394,12-10-2019,Invoice,I139097,Bluestem Brands,796.47,796.47,PO000076515432,,Open,4871
73378,12-11-2019,Invoice,I139335,Bluestem Brands,294,294,PO000076567763,,Open,4871
73379,12-11-2019,Invoice,I139323,Bluestem Brands,796.47,796.47,PO000076566259,,Open,4871
73380,12-11-2019,Invoice,I139295,Bluestem Brands,984.15,984.15,PO000076630457,,Open,4871
73381,12-11-2019,Invoice,I139274,Bluestem Brands,294,294,PO000076612744,,Open,4871
73382,12-11-2019,Invoice,I139272,Bluestem Brands,819,819,PO000076605990,,Open,4871
73383,12-11-2019,Invoice,I139269,Bluestem Brands,984.15,984.15,PO000076621770,,Open,4871
73384,12-11-2019,Invoice,I139267,Bluestem Brands,239,239,PO000076621095,,Open,4871
73385,12-11-2019,Invoice,I139266,Bluestem Brands,302.94,302.94,PO000076622673,,Open,4871
73386,12-11-2019,Invoice,I139265,Bluestem Brands,239,239,PO000076624216,,Open,4871
73373,12-12-2019,Invoice,I139469,Bluestem Brands,984.15,984.15,PO000076649587,,Open,4871
73374,12-12-2019,Invoice,I139448,Bluestem Brands,302.94,302.94,PO000076687024,,Open,4871
73375,12-12-2019,Invoice,I139442,Bluestem Brands,302.94,302.94,PO000076695742,,Open,4871
73376,12-12-2019,Invoice,I139414,Bluestem Brands,239,239,PO000076657577,,Open,4871
73377,12-12-2019,Invoice,I139413,Bluestem Brands,819,819,PO000076655899,,Open,4871
73371,12/13/2019,Invoice,I139694,Bluestem Brands,294,294,PO000076705138,,Open,4871
73372,12/13/2019,Invoice,I139642,Bluestem Brands,239,239,PO000076709010,,Open,4871
73342,12/16/2019,Invoice,I140027,Bluestem Brands,302.94,302.94,PO000076860363,,Open,4871
73343,12/16/2019,Invoice,I140026,Bluestem Brands,302.94,302.94,PO000076794884,,Open,4871
73344,12/16/2019,Invoice,I140025,Bluestem Brands,302.94,302.94,PO000076841215,,Open,4871
73345,12/16/2019,Invoice,I140024,Bluestem Brands,294,294,PO000076807240,,Open,4871
73346,12/16/2019,Invoice,I140023,Bluestem Brands,302.94,302.94,PO000076799016,,Open,4871
73347,12/16/2019,Invoice,I140009,Bluestem Brands,1497.92,1497.92,PO000076794087,,Open,4871
73348,12/16/2019,Invoice,I140008,Bluestem Brands,1497.92,1497.92,PO000076909881,,Open,4871
73349,12/16/2019,Invoice,I139914,Bluestem Brands,239,239,PO000076834082,,Open,4871
73350,12/16/2019,Invoice,I139913,Bluestem Brands,302.94,302.94,PO000076857879,,Open,4871
73351,12/16/2019,Invoice,I139907,Bluestem Brands,984.15,984.15,PO000076914250,,Open,4871
73352,12/16/2019,Invoice,I139903,Bluestem Brands,796.47,796.47,PO000076786388,,Open,4871
73353,12/16/2019,Invoice,I139882,Bluestem Brands,796.47,796.47,PO000076848183,,Open,4871
73354,12/16/2019,Invoice,I139877,Bluestem Brands,796.47,796.47,PO000076795377,,Open,4871
73355,12/16/2019,Invoice,I139869,Bluestem Brands,302.94,302.94,PO000076842606,,Open,4871
73356,12/16/2019,Invoice,I139868,Bluestem Brands,294,294,PO000076873016,,Open,4871
73357,12/16/2019,Invoice,I139867,Bluestem Brands,294,294,PO000076856880,,Open,4871
73358,12/16/2019,Invoice,I139866,Bluestem Brands,294,294,PO000076865914,,Open,4871
73359,12/16/2019,Invoice,I139860,Bluestem Brands,239,239,PO000076817649,,Open,4871
73360,12/16/2019,Invoice,I139859,Bluestem Brands,239,239,PO000076769722,,Open,4871
73361,12/16/2019,Invoice,I139858,Bluestem Brands,294,294,PO000076833816,,Open,4871
73362,12/16/2019,Invoice,I139856,Bluestem Brands,239,239,PO000076909125,,Open,4871
73363,12/16/2019,Invoice,I139855,Bluestem Brands,239,239,PO000076896947,,Open,4871
73364,12/16/2019,Invoice,I139832,Bluestem Brands,294,294,PO000076760337,,Open,4871
73365,12/16/2019,Invoice,I139831,Bluestem Brands,294,294,PO000076841179,,Open,4871
73366,12/16/2019,Invoice,I139830,Bluestem Brands,294,294,PO000076807656,,Open,4871
73367,12/16/2019,Invoice,I139829,Bluestem Brands,294,294,PO000076817755,,Open,4871
73368,12/16/2019,Invoice,I139828,Bluestem Brands,294,294,PO000076813738,,Open,4871
73369,12/16/2019,Invoice,I139826,Bluestem Brands,294,294,PO000076828476,,Open,4871
73370,12/16/2019,Invoice,I139810,Bluestem Brands,819,819,PO000076832015,,Open,4871
73339,12/17/2019,Invoice,I140154,Bluestem Brands,796.47,796.47,PO000076968014,,Open,4871
73340,12/17/2019,Invoice,I140136,Bluestem Brands,91.49,91.49,PO000077000305,,Open,4871
73341,12/17/2019,Invoice,I140127,Bluestem Brands,984.15,984.15,PO000076990272,,Open,4871
73324,12/18/2019,Invoice,I140376,Bluestem Brands,341,341,PO000077049544,,Open,4871
73325,12/18/2019,Invoice,I140371,Bluestem Brands,341,341,PO000077031961,,Open,4871
73326,12/18/2019,Invoice,I140342,Bluestem Brands,1497.92,1497.92,PO000077056394,,Open,4871
73327,12/18/2019,Invoice,I140335,Bluestem Brands,341,341,PO000077059335,,Open,4871
73328,12/18/2019,Invoice,I140317,Bluestem Brands,1497.92,1497.92,PO000077053675,,Open,4871
73329,12/18/2019,Invoice,I140308,Bluestem Brands,294,294,PO000077056877,,Open,4871
73330,12/18/2019,Invoice,I140305,Bluestem Brands,341,341,PO000077063745,,Open,4871
73331,12/18/2019,Invoice,I140295,Bluestem Brands,239,239,PO000077011068,,Open,4871
73332,12/18/2019,Invoice,I140293,Bluestem Brands,302.94,302.94,PO000077063993,,Open,4871
73333,12/18/2019,Invoice,I140292,Bluestem Brands,239,239,PO000077063070,,Open,4871
73334,12/18/2019,Invoice,I140285,Bluestem Brands,302.94,302.94,PO000077049364,,Open,4871
73335,12/18/2019,Invoice,I140284,Bluestem Brands,294,294,PO000077014978,,Open,4871
73336,12/18/2019,Invoice,I140282,Bluestem Brands,294,294,PO000077045886,,Open,4871
73337,12/18/2019,Invoice,I140279,Bluestem Brands,294,294,PO000077038327,,Open,4871
73338,12/18/2019,Invoice,I140278,Bluestem Brands,302.94,302.94,PO000077025564,,Open,4871
73303,12/19/2019,Invoice,I140564,Bluestem Brands,1091,1091,PO000077112248,,Open,4871
73304,12/19/2019,Invoice,I140561,Bluestem Brands,239,239,PO000077076285,,Open,4871
73305,12/19/2019,Invoice,I140544,Bluestem Brands,85.17,85.17,PO000077125647,,Open,4871
73306,12/19/2019,Invoice,I140538,Bluestem Brands,85.17,85.17,PO000077124718,,Open,4871
73307,12/19/2019,Invoice,I140537,Bluestem Brands,99.74,99.74,PO000077119376,,Open,4871
73308,12/19/2019,Invoice,I140525,Bluestem Brands,99.74,99.74,PO000077133432,,Open,4871
73309,12/19/2019,Invoice,I140510,Bluestem Brands,341,341,PO000077078782,,Open,4871
73310,12/19/2019,Invoice,I140509,Bluestem Brands,341,341,PO000077075069,,Open,4871
73311,12/19/2019,Invoice,I140505,Bluestem Brands,360.29,360.29,PO000077106835,,Open,4871
73312,12/19/2019,Invoice,I140503,Bluestem Brands,796.47,796.47,PO000077105837,,Open,4871
73313,12/19/2019,Invoice,I140493,Bluestem Brands,341,341,PO000077099324,,Open,4871
73314,12/19/2019,Invoice,I140487,Bluestem Brands,302.94,302.94,PO000077076349,,Open,4871
73315,12/19/2019,Invoice,I140486,Bluestem Brands,294,294,PO000077077162,,Open,4871
73316,12/19/2019,Invoice,I140485,Bluestem Brands,294,294,PO000077098111,,Open,4871
73317,12/19/2019,Invoice,I140484,Bluestem Brands,341,341,PO000077070404,,Open,4871
73318,12/19/2019,Invoice,I140483,Bluestem Brands,984.15,984.15,PO000077086001,,Open,4871
73319,12/19/2019,Invoice,I140481,Bluestem Brands,302.94,302.94,PO000077105503,,Open,4871
73320,12/19/2019,Invoice,I140479,Bluestem Brands,819,819,PO000077100133,,Open,4871
73321,12/19/2019,Invoice,I140476,Bluestem Brands,294,294,PO000077081404,,Open,4871
73322,12/19/2019,Invoice,I140474,Bluestem Brands,294,294,PO000077072242,,Open,4871
73323,12/19/2019,Invoice,I140467,Bluestem Brands,294,294,PO000077119717,,Open,4871
73278,12/20/2019,Invoice,I140821,Bluestem Brands,99.74,99.74,PO000077154986,,Open,4871
73279,12/20/2019,Invoice,I140819,Bluestem Brands,99.74,99.74,PO000077144426,,Open,4871
73280,12/20/2019,Invoice,I140816,Bluestem Brands,85.17,85.17,PO000077147869,,Open,4871
73281,12/20/2019,Invoice,I140815,Bluestem Brands,85.17,85.17,PO000077146852,,Open,4871
73282,12/20/2019,Invoice,I140811,Bluestem Brands,85.17,85.17,PO000077170143,,Open,4871
73283,12/20/2019,Invoice,I140810,Bluestem Brands,85.17,85.17,PO000077171711,,Open,4871
